issue_date,year,month_number,permit_date,job_category,address,legal_description,neighbourhood,neighbourhood_numberr,job_description,building_type,work_type,floor_area,construction_value,zoning,units_added,latitude,longitude,location,count,house_number
2026-08-21T00:00:00.000,2026,8,2026-08-21T00:00:00.000,Commercial Final,"209, 16733 - 84 STREET NW",Plan 9926453 Blk 12 Lot 124,KLARVATTEN,2440,"To construct interior alteration (first tenant improvement) (for a physiotherapy clinic) to existing building areas on second floor. ""Forward Physiotherapy & Wellness""","Clinics, Health Units (642)",(03) Interior Alterations,1759.9,150000,CN,0,53.62923698234892,-113.46961168582924,,1,
2026-08-20T00:00:00.000,2026,8,2026-08-20T00:00:00.000,Commercial Final,"26, 12981 - 50 STREET NW",Plan 4313TR Blk 1 Lot 13,HOMESTEADER,2350,To construct Interior Alterations (tenant improvement) for a medical clinic & pharmacy in an existing commercial building. Kennedale Medical Clinic & Kennedale Drug Mart,Retail and Shops (510),(03) Interior Alterations,1800,100000,CN,0,53.58893702938444,-113.41706582505012,,1,
2026-08-20T00:00:00.000,2026,8,2026-08-20T00:00:00.000,Commercial Final,3315 - 153 AVENUE NW,"Plan 2521806 Units 24,27",EBBERS,2251,To complete the interior alterations to add an eye clinic (first tenant fit-up) in the new commercial shell building.-- Greater Edmonton Eyecare,Office Buildings (520),(03) Interior Alterations,1500,200000,DC2,0,,,,1,
2026-08-19T00:00:00.000,2026,8,2026-08-19T00:00:00.000,Commercial Final,18489 - STONY PLAIN ROAD NW,Plan 0324226 Blk 1 Lot 5,PLACE LARUE,4400,To complete Change of Use (E to D) and construct Interior Alterations (tenant improvement) for a massage clinic in an existing commercial building.,"Malls, Office/Retail (512)",(03) Interior Alterations,1500,110000,DC,0,53.53958491750654,-113.64374986836923,,1,
2026-08-17T00:00:00.000,2026,8,2026-08-17T00:00:00.000,Commercial Final,12703 - 129 AVENUE NW,Plan 2620425 Blk 61 Lot 26,ATHLONE,3010,"To complete interior alteration (first tenant fit-up for a medical clinic) to the new commercial shell building. (One new RTU)-- Dr. Ahmed, Medical Clinic","Clinics, Health Units (642)",(03) Interior Alterations,3389,254175,MU,0,,,,1,
2026-08-14T00:00:00.000,2026,8,2026-08-14T00:00:00.000,Commercial Final,4075 - 106 STREET NW,Plan 0023297 Unit 1,RIDEAU PARK,5360,To construct Interior Alterations (Construct an office and remove a wall) to an existing medical clinic. --Alberta Cardiology--,Office Buildings (520),(03) Interior Alterations,1740,10000,CG,0,53.477731297613936,-113.50362224631611,,1,
2026-08-14T00:00:00.000,2026,8,2026-08-14T00:00:00.000,Commercial Final,821 - DANIELS WAY SW,Plan 1822012 Blk 4 Lot 175,DESROCHERS AREA,5463,To complete Change of Use (E to D) and construct Interior Alterations (tenant improvement) for a massage clinic in an existing mixed use building. ”Massage Heritage Wellness Ltd.”,"Clinics, Health Units (642)",(03) Interior Alterations,1778,48000,DC1,1,53.39872301339645,-113.54229733435787,,1,
2026-08-13T00:00:00.000,2026,8,2026-08-13T00:00:00.000,Commercial Final,"302, 4730 - GATEWAY BOULEVARD NW",Plan 7620205 Blk 28 Lots 2-3,CALGARY TRAIL NORTH,5110,to construct Interior Alterations (first tenant fit-up) in an existing 6-storey mixed-use building. --Eversquare Radiology Clinic--,"Clinics, Health Units (642)",(03) Interior Alterations,7308.69,1460000,DC2,0,53.484786406172525,-113.4935301901617,,1,
2026-08-06T00:00:00.000,2026,8,2026-08-06T00:00:00.000,Commercial Final,"215, 14925 - 111 AVENUE NW",Plan 191KS Blk 17 Lot 1,HIGH PARK,4200,To construct Interior Alterations (tenant fit up) to an existing commercial building.   ”High Park Dental”,Office Buildings (520),(03) Interior Alterations,1474.65,137000,CG,0,53.55850229841031,-113.578974969387,,1,
2026-07-29T00:00:00.000,2026,7,2026-07-29T00:00:00.000,Commercial Final,"101, 11425 - 124 STREET NW",Plan RN46 Blk 22 Lot 15,INGLEWOOD,3240,To construct interior alterations (initial tenant fit-up) for a pharmacy and clinic on main floor of a mix-used building.,Office Buildings (520),(03) Interior Alterations,2237,125000,RM,0,53.564530120935316,-113.53542012815689,,1,
