Permit_Number,Date_of_Submission,Date_of_Permit_Issuance,Completed_Date,Expiration_Date,Permit_Name,Work_Type,Primary_Work_Scope,Permit_Status,Civic_ID,Civic_Number,Street_Name,Community,PID,Estimated_Project_Value,Most_Recent_Inspection,Type_of_Structure,Occupancy_Type,Existing_Residential_Units,Total_End_Residential_Units,Building_Footprint_Area,Number_of_Storeys,Work_Description,Active_Parcel,Date_Inspection_Completed,District,Inspection_Outcome,Overall_Building_Height,Net_New_Units,OBJECTID
BPCOM-2024-08216,6/21/2024 12:00:00 PM,7/9/2024 12:00:00 PM,11/7/2024 12:00:00 PM,7/9/2026 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Completed,45221,22,GLENDALE AVE,LOWER SACKVILLE,00364844,100000,Building - Commercial - Final,Commercial,Clinic,,,1910.9,1,"Change to interior walls (walls, ceiling, flooring) - no additions or changes to size of strucure",Y,2024-11-07 12:00:00,District 15,Passed,4.8,0,309
BPCOM-2025-03081,4/14/2025 12:00:00 PM,5/12/2025 12:00:00 PM,,5/12/2027 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Issued,62116,45,ALDERNEY DR,DARTMOUTH,00108324,200000,Building - Commercial - Firestop,Commercial,Clinic,,,2346,18,Refit of existing vacant office space on the 10th Floor of 45 Alderney Drive.  Vacant office space will be converted into a new ophthalmology clinic.,Y,2025-07-11 12:00:00,District 05,Passed,75,0,316
BPCOM-2026-09018,7/6/2026 12:00:00 PM,7/21/2026 12:00:00 PM,,7/21/2028 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Issued,42927,601,SACKVILLE DR,LOWER SACKVILLE,40278442,200000,Building - Plumbing - Commercial - Rough In,Commercial,Clinic,,,1393,1,"Leasehold Improvement of an existing ground floor retail strip mall space. The new tenant is a hearing aid retailer called Connect Hearing. 
Approximately 1,000 sq ft of space.",Y,2026-08-27 12:00:00,District 15,Passed,3.6,0,660
BP-2021-08433,5/17/2021 12:00:00 PM,7/22/2021 12:00:00 PM,2/4/2022 12:00:00 PM,7/22/2023 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Completed,148033,75,PEAKVIEW WAY,HALIFAX,41311143,70000,Building - Plumbing - Commercial - Rough In,Commercial,Clinic,,,1362,1,"Interior renovation to an existing Leasehold.
Unit 107 in the Plaza - Nova Physio",Y,2022-02-04 12:00:00,District 16,Passed,4,0,1109
BPCOM-2025-09859,6/24/2025 12:00:00 PM,6/30/2025 12:00:00 PM,5/28/2026 12:00:00 PM,6/30/2027 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Completed,17473,36,SOLUTIONS DR,HALIFAX,41036005,15000,Building - Commercial - Final,Commercial,Office,,,7400,4,"Expansion to current United Dental lab. The client will be taking over the adjacent suite. A wall between the two spaces will be opened up to create the new passage way. 

Three closets will be created in the new space.",Y,2025-10-23 12:00:00,District 12,Passed,15,0,1284
BP-2020-00114,12/16/2020 12:00:00 PM,3/11/2021 12:00:00 PM,1/14/2022 12:00:00 PM,3/11/2023 12:00:00 PM,Mixed Use & Commercial Building Permit,Addition,Addition,Completed,76419,6247,JUBILEE RD,HALIFAX,00157586,350000,Building - Commercial - Final,Mixed Use - Residential & Other Use(s),Residential Use,1,1,153,2,"Addition to main level commercial and second floor residential suite. Renovate existing commercial offices for osteopathic, massage, physiotherapy health services. Additions are under an existing Development Agreement",Y,2022-01-14 12:00:00,District 09,Passed,6.52,0,2018
BP-2021-02521,2/17/2021 12:00:00 PM,3/11/2021 12:00:00 PM,6/11/2021 12:00:00 PM,3/11/2023 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Completed,63835,101,RESEARCH DR,DARTMOUTH,40305328,516000,Building - Commercial - Final,Commercial,Laboratory / Research Use,,,1050,3,"This project is an interior fit up/ renovation to Level 3 of DSMâ€™s building. The fit up will consist adjusting the layout of the offices on the third floor to accommodate a new laboratory on the 3rd floor. Equipment from Level 2 will be relocated to Level 3 to accommodate the new layout. Scope of work will include renovations to the offices, laboratory, mechanical and electrical to accommodate the new laboratory layout on the 3rd floor.",Y,2021-06-09 12:00:00,District 03,Passed,15,0,2084
BP-2021-07772,4/29/2021 12:00:00 PM,6/14/2021 12:00:00 PM,8/16/2021 12:00:00 PM,6/14/2023 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Completed,58226,842,PORTLAND ST,DARTMOUTH,41044793,173100,Building - Plumbing - Prior to Occupancy,Commercial,Retail Use,,,1427,2,Leasehold improvement to create 'COMPASS PHARMACY' retail pharmacy,Y,2021-08-16 12:00:00,District 03,Passed,8.64,0,2202
BPCOM-2021-10826,6/8/2021 12:00:00 PM,8/5/2021 12:00:00 PM,1/27/2022 12:00:00 PM,8/5/2023 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Completed,123166,480,PARKLAND DR,HALIFAX,40884850,74000,Building - Commercial - Final,Commercial,Clinic,,,1940,2,"This job is an interior renovation for Connect Hearing.  They are there now and are expanding into another space. This is on the 2nd floor of this building. The existing HVAC will remain as is and is part of the base building.  All finishes will be new.  There is 1 new sink and 1 existing sink
Unit 204 - 480 Parkland Road",Y,2021-10-01 12:00:00,District 12,Passed,10.97,0,2251
BPCOM-2022-05769,4/27/2022 12:00:00 PM,5/24/2022 12:00:00 PM,7/7/2022 12:00:00 PM,5/24/2024 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Completed,73770,6169,QUINPOOL RD,HALIFAX,40176562,29202,Building - Commercial - Final,Commercial,Office,,,5932,2,Interior renovations to Suite 203 for new leasehold 'Nikkiâ€™s Acupuncture and Beauty Clinic'.,Y,2022-07-07 12:00:00,District 09,Passed,8,0,2316
BPCOM-2022-11387,9/8/2022 12:00:00 PM,9/23/2022 12:00:00 PM,11/29/2023 12:00:00 PM,9/23/2024 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Completed,142810,41,COUNTRYVIEW DR,DARTMOUTH,41282336,520000,Building - Commercial - Final,Commercial,Clinic,,,2156,1,Dental Office Fit-Up,Y,2023-11-29 12:00:00,District 06,Passed,6.1,0,2339
BPCOM-2023-03757,4/4/2023 12:00:00 PM,4/26/2023 12:00:00 PM,,4/26/2025 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Expired,42110,776,SACKVILLE DR,LOWER SACKVILLE,41208133,115000,,Commercial,Retail Use,,,877,1,Internal Renovations to add a Consultation rooms in the Pharmacy Area,Y,,District 15,,5.5,0,2382
BPCOM-2023-11294,8/29/2023 12:00:00 PM,9/15/2023 12:00:00 PM,1/24/2025 12:00:00 PM,9/15/2025 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Completed,71484,7037,MUMFORD RD,HALIFAX,00205856,600000,Building - Commercial - Final,Commercial,Clinic,,,2661,22,Interior dental fit up on the first floor. LAWEN DENTISTRY.,Y,2025-01-24 12:00:00,District 09,Passed,67,0,2412
BPCOM-2024-04701,4/18/2024 12:00:00 PM,5/6/2024 12:00:00 PM,5/9/2024 12:00:00 PM,5/6/2026 12:00:00 PM,Mixed Use & Commercial Building Permit,Renovation,Renovation,Completed,172469,61,STELLA DR,PORTERS LAKE,40243032,25000,Building - Commercial - Final,Commercial,Clinic,,,929,1,"Leasehold improvement to create 'Monarch Denture Clinic'
Unit 101",Y,2024-05-09 12:00:00,District 02,Passed,7.77,0,2462
