period,address,unit,area,building_type,work_type,value,lat,lng,permit_no
2026-07,487 Concession Street,,Hamilton,Office Building / Doctor's Office / Bank,Alteration / Renovation / Repair,30000,43.24187,-79.85458,NR-2026-00926
2026-07,101 Osler Drive,,Dundas,Office Building / Doctor's Office / Bank,Alteration / Renovation / Repair,700000,43.25951,-79.94338,NR-2026-01602
2026-07,700 Woodward Avenue,,Hamilton,Laboratory / Research Center / Medical Research Center,Alteration / Renovation / Repair,4350000,43.25276,-79.77366,26-101093
2026-07,855 Industrial Drive,,Hamilton,Office Building / Doctor's Office / Bank,Demolition,146,43.26458,-79.82532,NR-2026-01594
2026-07,25 Main Street West,,Hamilton,Office Building / Doctor's Office / Bank,Alteration / Renovation / Repair,150000,43.25549,-79.87095,NR-2026-01014
2026-07,1 James Street North,,Hamilton,Laboratory / Research Center / Medical Research Center,Alteration / Renovation / Repair,10000,43.25721,-79.86918,NR-2026-01620
2026-07,850 King Street East,,Hamilton,Office Building / Doctor's Office / Bank,Demolition,107000,43.2512,-79.84074,NR-2026-02280
2026-07,33 Main Street East,,Hamilton,Office Building / Doctor's Office / Bank,Alteration / Renovation / Repair,35000,43.25515,-79.86808,NR-2026-01311
2026-07,64 Hatt Street,,Dundas,Office Building / Doctor's Office / Bank,Alteration / Renovation / Repair,30000,43.26507,-79.95822,NR-2026-01444
2026-07,178 Nebo Road,,Hamilton,Office Building / Doctor's Office / Bank,Alteration / Renovation / Repair,750000,43.19392,-79.83762,NR-2026-01090
2026-06,1038 Garner Road West,,Ancaster,Office Building / Doctor's Office / Bank,Alteration / Renovation / Repair,150000,43.19611,-80.0144,26-100608
2026-06,875 Upper Wentworth Street,,Hamilton,Office Building / Doctor's Office / Bank,Alteration / Renovation / Repair,120000,43.22097,-79.86232,NR-2026-01127
2026-06,540 Upper James Street,,Hamilton,Office Building / Doctor's Office / Bank,Alteration / Renovation / Repair,500000,43.24128,-79.87657,26-100372
2026-06,90 Bay Street North,,Hamilton,Office Building / Doctor's Office / Bank,Alteration / Renovation / Repair,75000,43.26065,-79.87247,NR-2026-00354
2026-06,139 Upper Centennial Parkway,,Stoney Creek,Office Building / Doctor's Office / Bank,Alteration / Renovation / Repair,50000,43.18273,-79.77332,NR-2026-00664
2026-06,270 Longwood Road South,,Hamilton,Laboratory / Research Center / Medical Research Center,Alteration / Renovation / Repair,20000,43.25461,-79.90266,NR-2026-00150
2026-06,92 Stapleton Avenue,,Hamilton,Office Building / Doctor's Office / Bank,Alteration / Renovation / Repair,10000,43.25569,-79.80439,23T-316719
2026-06,1280 Main Street West,,Hamilton,Office Building / Doctor's Office / Bank,Alteration / Renovation / Repair,150000,43.25857,-79.91924,NR-2026-01017
2026-06,970 South Service Road,,Stoney Creek,Office Building / Doctor's Office / Bank,Alteration / Renovation / Repair,500000,43.22393,-79.66825,NR-2026-00755
2026-06,830 Upper James Street,,Hamilton,Office Building / Doctor's Office / Bank,Alteration / Renovation / Repair,50000,43.22833,-79.88252,26-101090
2026-06,1038 Garner Road West,,Ancaster,Office Building / Doctor's Office / Bank,Alteration / Renovation / Repair,10000,43.19611,-80.0144,NR-2026-00819
2026-06,64 Hatt Street,,Dundas,Office Building / Doctor's Office / Bank,Alteration / Renovation / Repair,10000,43.26507,-79.95822,NR-2026-00670
2026-06,420 Garner Road West,,Ancaster,Office Building / Doctor's Office / Bank,Demolition,15000,43.19822,-80.00134,25-104773
2026-06,3270 Westbrook Road,,Glanbrook,Animal Hospital / Greenhouse,New Construction,80000,43.09762,-79.73477,24T-0487
2026-06,304 Dundas Street East,,Flamborough,Office Building / Doctor's Office / Bank,Alteration / Renovation / Repair,100000,43.33288,-79.89299,NR-2026-00977
2026-06,420 Garner Road West,,Ancaster,Office Building / Doctor's Office / Bank,Demolition,15000,43.19822,-80.00134,25-104768
2026-06,35 Stone Church Road,,Ancaster,Office Building / Doctor's Office / Bank,Alteration / Renovation / Repair,550000,43.22749,-79.93604,26-100602
2026-06,121 Hatt Street,,Dundas,Office Building / Doctor's Office / Bank,Alteration / Renovation / Repair,120000,43.26618,-79.95928,NR-2026-00709
2026-06,65 Green Mountain Road West,,Stoney Creek,Office Building / Doctor's Office / Bank,New Construction,800000,43.20048,-79.77278,26-100514
2026-05,1205 Rymal Road East,,Hamilton,Office Building / Doctor's Office / Bank,Alteration / Renovation / Repair,100000,43.18996,-79.83968,26-100590
2026-05,5506 Chippewa Road East,,Glanbrook,Animal Hospital / Greenhouse,New Construction,375000,43.12031,-79.86677,26-100378
2026-05,200 Longwood Road South,,Hamilton,Office Building / Doctor's Office / Bank,Alteration / Renovation / Repair,500000,43.25572,-79.90231,26-101125
2026-05,5506 Chippewa Road East,,Glanbrook,Animal Hospital / Greenhouse,New Construction,375000,43.12031,-79.86677,26-100383
2026-05,255 Dundas Street East,,Flamborough,Office Building / Doctor's Office / Bank,Alteration / Renovation / Repair,9500,43.33022,-79.89711,NR-2026-00439
