"FOLDERNUMBER","FOLDERTYPE","REPORTCODE","FOLDERSTATUS","APPLICATIONDATE","APPROVEDAPPLICATIONDATE","ISSUEDDATE","COMPLETEDDATE","ROLLNUMBER","NEIGHBOURHOOD","STATSCANADABUILDINGCODE","STATSCANADABUILDINGCODEDESC","STATSCANADAWORKCODE","STATSCANADAWORKCODEDESC","STATSCANADAUNITSCREATED","STATSCANADAUNITSLOST","BUILDINGAREAM2","UNIT","HOUSE","STREET","ADDRESS","PLAN","BLOCK","LOT","LEGAL","PROPERTY_NUMBER","CONSTRUCTIONVALUE"
"BP000001","BUILDING - RESIDENTIAL","NEW","COMPLETED","4/1/2005 12:00:00 AM","4/7/2005 12:00:00 AM","4/7/2005 12:00:00 AM","5/9/2005 12:00:00 AM","2007407300001","INDIAN BATTLE HEIGHTS","110","SINGLE HOUSE","01","NEW CONSTRUCTION","","","44.97000000","","730","BLACKFOOT TERR W","730 BLACKFOOT TERR W","0313116","21","40","PLAN 0313116 BLOCK 21 LOT 40","403623",""
"BP000002","BUILDING - COMMERCIAL","RENO","RETIRED","4/4/2005 12:00:00 AM","4/7/2005 12:00:00 AM","4/7/2005 12:00:00 AM","1/27/2010 12:00:00 AM","2007202950035","INDIAN BATTLE HEIGHTS","215","DUPLEX (SIDE X SIDE) STRATA","03","ALTERATIONS/IMPROVEMENTS","","","43.29000000","33","295","BLACKFOOT RD W","33-295 BLACKFOOT RD W","0411829","","35","PLAN 0411829 LOT 35","406213","7000.00000000"
"BP000003","BUILDING - COMMERCIAL","RENO","COMPLETED","4/4/2005 12:00:00 AM","4/7/2005 12:00:00 AM","4/7/2005 12:00:00 AM","10/26/2005 12:00:00 AM","2007202950012","INDIAN BATTLE HEIGHTS","335","ROW HOUSE STRATA","03","ALTERATIONS/IMPROVEMENTS","","","48.50000000","44","295","BLACKFOOT RD W","44-295 BLACKFOOT RD W","0411829","","12","PLAN 0411829 LOT 12","406052","8000.00000000"
"BP000004","BUILDING - RESIDENTIAL","NEW","COMPLETED","4/4/2005 12:00:00 AM","4/10/2005 12:00:00 AM","4/10/2005 12:00:00 AM","10/31/2006 12:00:00 AM","4032001800001","UPLANDS","110","SINGLE HOUSE","01","NEW CONSTRUCTION","","","102.57000000","","180","KODIAK BLVD N","180 KODIAK BLVD N","0412162","18","16","PLAN 0412162 BLOCK 18 LOT 16","406353",""
"BP000005","BUILDING - RESIDENTIAL","ADDITION","COMPLETED","4/4/2005 12:00:00 AM","4/6/2005 12:00:00 AM","4/6/2005 12:00:00 AM","8/22/2005 12:00:00 AM","2006901090001","INDIAN BATTLE HEIGHTS","110","SINGLE HOUSE","02","ADDITION TO EXISTING","","","0.00000000","","109","BLACKFOOT CIR W","109 BLACKFOOT CIR W","0210784","14","30","PLAN 0210784 BLOCK 14 LOT 30","391044","6160.00000000"
"BP000006","BUILDING - RESIDENTIAL","RENO","EXPIRED","4/4/2005 12:00:00 AM","4/10/2005 12:00:00 AM","4/10/2005 12:00:00 AM","9/20/2006 12:00:00 AM","2026203670001","HERITAGE HEIGHTS","110","SINGLE HOUSE","03","ALTERATIONS/IMPROVEMENTS","","","0.00000000","","367","HERITAGE BLVD W","367 HERITAGE BLVD W","0213606","7","95","PLAN 0213606 BLOCK 7 LOT 95","395244","4688.00000000"
"BP000007","BUILDING - RESIDENTIAL","NEW","CANCELLED","4/4/2005 12:00:00 AM","4/11/2005 12:00:00 AM","4/11/2005 12:00:00 AM","4/11/2005 12:00:00 AM","2009202910001","PARADISE CANYON","110","SINGLE HOUSE","01","NEW CONSTRUCTION","","","144.09000000","","291","CANYON BLVD W","291 CANYON BLVD W","9111316","9","29","PLAN 9111316 BLOCK 9 LOT 29","303208",""
"BP000008","BUILDING - RESIDENTIAL","NEW","COMPLETED","4/4/2005 12:00:00 AM","4/10/2005 12:00:00 AM","4/10/2005 12:00:00 AM","2/6/2006 12:00:00 AM","1052201390001","SOUTHGATE","110","SINGLE HOUSE","01","NEW CONSTRUCTION","","","97.64000000","","139","COULEECREEK LANE S","139 COULEECREEK LANE S","0510094","14","16","PLAN 0510094 BLOCK 14 LOT 16","411071",""
"BP000009","BUILDING - RESIDENTIAL","NEW","COMPLETED","4/5/2005 12:00:00 AM","4/5/2005 12:00:00 AM","4/5/2005 12:00:00 AM","6/9/2005 12:00:00 AM","2025800660001","HERITAGE HEIGHTS","110","SINGLE HOUSE","06","MECHANICAL","","","0.00000000","","66","HERITAGE GREEN W","66 HERITAGE GREEN W","0312415","11","55","PLAN 0312415 BLOCK 11 LOT 55","401845",""
"BP000010","BUILDING - RESIDENTIAL","GARAGE-DET","COMPLETED","4/5/2005 12:00:00 AM","4/10/2005 12:00:00 AM","4/10/2005 12:00:00 AM","5/26/2005 12:00:00 AM","1206012150001","LONDON ROAD","480","UTILITY BLDG","01","NEW CONSTRUCTION","","","0.00000000","","1215","6 AVE S","1215 6 AVE S","1354C","","145","PLAN 1354C LOT 145","227307","6720.00000000"
