"FOLDERNUMBER","FOLDERTYPE","REPORTCODE","FOLDERSTATUS","APPLICATIONDATE","APPROVEDAPPLICATIONDATE","DECISIONDATE","COMPLETEDDATE","ROLLNUMBER","NEIGHBOURHOOD","UNIT","HOUSE","STREET","ADDRESS","PLAN","BLOCK","LOT","LEGAL","PROPERTY_NUMBER","UNITSCREATED"
"CMP00003","COMPLIANCE","NEW","COMPLETED","6/2/2008 12:00:00 AM","","6/5/2008 12:00:00 AM","6/6/2008 12:00:00 AM","2057101180001","VARSITY VILLAGE","","118","RYERSON RD W","118 RYERSON RD W","7711408","19A","34","PLAN 7711408 BLOCK 19A LOT 34","222337",""
"CMP00004","COMPLIANCE","NEW","COMPLETED","6/2/2008 12:00:00 AM","","6/6/2008 12:00:00 AM","6/6/2008 12:00:00 AM","2019000790001","VARSITY VILLAGE","","79","DALHOUSIE CRT W","79 DALHOUSIE CRT W","7610543","14","27","PLAN 7610543 BLOCK 14 LOT 27","202310",""
"CMP00005","COMPLIANCE","NEW","COMPLETED","6/2/2008 12:00:00 AM","","6/6/2008 12:00:00 AM","6/6/2008 12:00:00 AM","4123008150001","MAJESTIC PLACE","","815","23 ST N","815 23 ST N","2896IB","5","2","PLAN 2896IB BLOCK 5 LOT 2","325419",""
"CMP00006","COMPLIANCE","NEW","COMPLETED","6/2/2008 12:00:00 AM","","6/6/2008 12:00:00 AM","6/6/2008 12:00:00 AM","4109011180001","STAFFORDVILLE","","1118","9 ST N","1118 9 ST N","6212GP","3","39","PLAN 6212GP BLOCK 3 LOT 39","303411",""
"CMP00007","COMPLIANCE","NEW","COMPLETED","6/2/2008 12:00:00 AM","","6/6/2008 12:00:00 AM","6/6/2008 12:00:00 AM","4027203200001","UPLANDS","","320","GRIZZLY CRES N","320 GRIZZLY CRES N","0512561","17","6","PLAN 0512561 BLOCK 17 LOT 6","415005",""
"CMP00008","COMPLIANCE","NEW","COMPLETED","6/2/2008 12:00:00 AM","","6/6/2008 12:00:00 AM","6/6/2008 12:00:00 AM","4078003340001","LEGACY RIDGE / HARDIEVILLE","","334","LETTICE PERRY RD N","334 LETTICE PERRY RD N","0712105","8","8","PLAN 0712105 BLOCK 8 LOT 8","452787",""
"CMP00009","COMPLIANCE","NEW","COMPLETED","6/3/2008 12:00:00 AM","","6/6/2008 12:00:00 AM","6/6/2008 12:00:00 AM","1052805360001","SOUTHGATE","","536","COULEESPRINGS CRES S","536 COULEESPRINGS CRES S","0712741","20","9","PLAN 0712741 BLOCK 20 LOT 9","452424",""
"CMP00010","COMPLIANCE","NEW","COMPLETED","6/3/2008 12:00:00 AM","","6/6/2008 12:00:00 AM","6/6/2008 12:00:00 AM","2010201960001","PARADISE CANYON","","196","CANYONCREST PT W","196 CANYONCREST PT W","0712569","5","43","PLAN 0712569 BLOCK 5 LOT 43","452885",""
"CMP00011","COMPLIANCE","NEW","COMPLETED","6/3/2008 12:00:00 AM","","6/6/2008 12:00:00 AM","6/6/2008 12:00:00 AM","1123003010001","GLENDALE","","301","23 ST S","301 23 ST S","50GM","19","9","PLAN 50GM BLOCK 19 LOT 9","209233",""
"CMP00012","COMPLIANCE","NEW","COMPLETED","6/3/2008 12:00:00 AM","","6/6/2008 12:00:00 AM","6/6/2008 12:00:00 AM","2026203990001","HERITAGE HEIGHTS","","399","HERITAGE BLVD W","399 HERITAGE BLVD W","0212283","7","87","PLAN 0212283 BLOCK 7 LOT 87","393410",""
