licence_num,facility_name,address,address2,city,province,postal_code,phone,licensee_name,services,assess_date,action_date,action_comment
,Ontario Fertility Centres Inc.,95 Bayly Street West,Suite 200,Ajax,ON,L1S7K8,289-660-1034,Ontario Fertility Centres Inc. , Mobile General Ultrasound,2023-06-16,2023-10-18,Met standards with some recommendations made for improvement.
,Ajax Urology Associates,95 Bayly Street West,Suite 300,Ajax,ON,L1S7K8,905-426-9426,Dr. Arthur Grabowski , General Ultrasound,2022-04-13,2022-08-22,Met standards.
,Rossland Diagnostic Clinic,300 Rossland Road East,Suite 102,Ajax,ON,L1Z0M1,905-426-3111,Asset Adam Corp ," Bone Mineral DXA, Mammography, Radiography, General Ultrasound, Vascular Ultrasound, Nuclear Medicine - In Vivo - General, Nuclear Medicine - In Vivo - SPECT",2023-02-16,2023-04-28,Met standards.
,Baywood X-Ray and Ultrasound,95 Bayly Street West,Suite 101,Ajax,ON,L1S7K8,905-428-0444,Levine Myers Medicine Professional Corporation ," Mammography, Radiography, General Ultrasound, Vascular Ultrasound",2022-12-01,2023-04-28,Met standards.
,Custom Vision & Cosmetic Centre,601 Westney Road South,Unit 201,Ajax,ON,L1S4N7,905-721-1211,1627837 Ontario Inc. , Ophthalmic Ultrasound,2022-10-15,2022-11-29,Met standards.
,Harwood X-Ray and Ultrasound,601 Harwood Avenue South,Suite 107,Ajax,ON,L1S2J5,905-683-8877,Ellesmere X-Ray Inc. ," Radiography, General Ultrasound, Vascular Ultrasound, Bone Mineral DXA",2022-11-10,2023-01-03,Met standards.
,Durham Pulmonary and Sleep Services Inc.,601 Harwood Avenue South,Suite 201,Ajax,ON,L1S2J5,905-239-1119,Durham Pulmonary and Sleep Services Inc. ," Pulmonary Function A - Pure Screening, Pulmonary Function B - Lung Volumes & Diffusion",2023-04-21,2023-06-09,Met standards.
,Westney Heights Diagnostic Centre,15 Westney Road North,Unit 2,Ajax,ON,L1T1P4,905-686-9729,2479173 Ontario Ltd. ," Radiography, General Ultrasound, Vascular Ultrasound, Bone Mineral DXA",2023-05-02,2023-07-17,Met standards.
,GNMI MRI & CT,300 Harwood Avenue South,Harwood Mall,Ajax,ON,L1S2J1,905-426-8976,2659428 Ontario Inc. ," Computed Tomography, Magnetic Resonance Imaging",2025-06-11,2025-08-01,Met standards.
,Ancaster X-Ray and Ultrasound,1144 Wilson Street West,Suite 104,Ancaster,ON,L9G3K9,905-648-5900,Imagus Inc. ," Radiography, General Ultrasound, Vascular Ultrasound",2022-09-15,2022-11-25,Pre-licensing inspection passed and approved for operation
,Ancaster Endoscopy Clinic,1144 Wilson Street West,Suite 205,Ancaster,ON,L9G3K9,905-304-0062,Ancaster Endoscopy Clinic Inc. , GI-Endoscopy,2025-10-02,2025-10-30,Will be a custom comment.
,Brampton West Radiology,9545 Mississauga Road,"Unit 14, 15 and 16",Brampton,ON,L6X0B5,905-789-5627,2548781 Ontario Limited (GDI Gam Diagnostic Imaging) ," Bone Mineral DXA, Mammography, Radiography, General Ultrasound",2019-08-22,2020-01-15,Met standards.
,Torbram and North Park X-Ray and Ultrasound,2130 North Park Drive,Unit 225,Brampton,ON,L6S0C9,905-789-5627,2548781 Ontario Limited (GDI Gam Diagnostic Imaging) ," Radiography, General Ultrasound, Vascular Ultrasound, Bone Mineral DXA",2022-09-08,2022-10-19,Met standards.
,Ontario Diagnostic Centre (ODC) Brampton,36 Vodden Street East,Suite 104,Brampton,ON,L6V4H4,905-455-5455,7523203 Canada Inc. ," Bone Mineral DXA, Fluoroscopy, Mammography, Radiography, General Ultrasound",2022-06-03,2022-10-12,Met standards.
,Ontario Diagnostic Centre (ODC) - Golden Gate,100 Pertosa Drive,Suite 207,Brampton,ON,L6X0H9,905-796-9990,2539398 Ontario Inc. , Radiography,2022-06-03,2022-10-11,Met standards.
,Bram North X-Ray and Ultrasound,2 Dewside Drive,Unit 106,Brampton,ON,L6R3B8,905-792-2728,2548781 Ontario Limited (GDI Gam Diagnostic Imaging) ," General Ultrasound, Radiography",2022-09-15,2023-02-01,Met standards.
