Permit Number,Permit Application Type,Date Issued,Building Use,Work Class,Cost of Construction,Number of Units,Number of Stories,Stats Can # of Units Lost,Location,LocType,Subdivision Code,Name,Contact Type Description,Construction Type
PRMH202500004,Plumbing,2025-01-02 00:00:00,Residential,Mechanical,5333,0,,,"259 N BROAD STREET, REGINA, SK S4R2X7",Address,Churchill Downs,,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRRN202402783,Renovation/Alteration,2025-01-02 00:00:00,Commercial,Alteration and improvements,75000,0,,,3750 CHUKA BOULEVARD,Address,The Greens on Gardiner,102049625 SASKATCHEWAN LTD.,Property Owner,"512-Retail complex; plaza, mall, shopping centre, store/office building"
PRSS202402910,Secondary Suite,2025-01-02 00:00:00,Residential,Alteration and improvements,30000,1,,,"5301 E BUCKINGHAM DRIVE, REGINA, SK *",Address,The Towns,First Call Construction,Contractor,"330-Row House, garden home, town house, carriage home, quadrex"
PRBS202403157,Basement Development,2025-01-03 00:00:00,Residential,Alteration and improvements,12000,0,,,"716 E DOUGLAS PARK CRESCENT, REGINA, SK S4N2S2",Address,Douglas Place,,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRBS202500006,Basement Development,2025-01-03 00:00:00,Residential,Alteration and improvements,10000,0,,,"200 LOGAN CRESCENT, REGINA, SK S4S5S7",Address,Whitmore Park,APPLIED PERFECTION CONSTRUCTION & DESIGN - George Strocen,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRFR202403091,Foundation Repair,2025-01-03 00:00:00,Residential,Alteration and improvements,33000,0,,,"108 HANLEY CRESCENT, REGINA, SK S4R5A7",Address,Normanview,Steve Perlinger - JS Group of Companies Ltd.,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRRN202402965,Renovation/Alteration,2025-01-04 00:00:00,Residential,Alteration and improvements,5000,0,,,"8116 BARLEY CRESCENT, REGINA, SK S4Y0E7",Address,Westerra,,Property Owner,"210-Semi-Detached or Double House, single attached home"
PRBS202403159,Basement Development,2025-01-05 00:00:00,Residential,Alteration and improvements,7500,0,,,"4135 CHUKA DRIVE, REGINA, SK S4V1N2",Address,The Creeks,,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRAD202402657,Addition,2025-01-06 00:00:00,Residential,Addition to existing building commerical & residential,60000,0,,,"2777 MCARA STREET, REGINA, SK S4N2X2",Address,Assiniboia  Place,,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRBS202500002,Basement Development,2025-01-06 00:00:00,Residential,Alteration and improvements,50000,0,,,"5002 CANUCK CRESCENT, REGINA, SK S4W0G4",Address,Harbour Landing,Collaborative Construction Inc. (eBuild),Contractor,"110-Single House, single detached home, bungalow, linked home (linked at fo"
