Permit Number,Permit Application Type,Date Issued,Building Use,Work Class,Estimated Cost of Construction,Number of Units,Number of Stories,Stats Can # of Units Lost,Location,LocType,Subdivision Code,Name,Contact Type Description,Construction Type
PRBS202503592,Basement Development,2026-01-02 00:00:00,Residential,Alteration and improvements,14000,0,0,,"5313 MCKENNA CRESCENT, REGINA, SK S4W0H2",Address,Harbour Landing,RENOFIX COMPANY,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRFR202503561,Foundation Repair,2026-01-02 00:00:00,Residential,Alteration and improvements,12700,0,0,,"3319 29TH AVENUE, REGINA, SK S4S2P1",Address,Parliament Place,AAA SOLID FOUNDATION,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRSF202503240,Single/Semi-Detached Dwelling 1-2 units,2026-01-02 00:00:00,Residential,New construction,1161651,1,1,,"498 GREENSIDE TERRACE, REGINA, SK S4Y0A8",Address,UNDEVELOP,MUNRO HOMES LTD.,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRRN202503350,Renovation/Alteration,2026-01-03 00:00:00,Residential,Alteration and improvements,1750,0,0,,"28 RICHARDSON CRESCENT, REGINA, SK S4S4J3",Address,Whitmore Park,REDACTED,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRRN202503132,Renovation/Alteration,2026-01-04 00:00:00,Commercial,Alteration and improvements,40000,0,0,,"1700 ELPHINSTONE STREET, Unit:G, REGINA, SK S4P2Z6",Address,Old 33,REGINA EXHIBITION ASSOCIATION LTD.,Property Owner,"560-Indoor recreational building; sports complex, tennis court and squash, community center, arena, curling club, swimming pool"
PRFR202503586,Foundation Repair,2026-01-05 00:00:00,Residential,Alteration and improvements,5700,0,0,,"1238 N FLEXMAN CRESCENT, REGINA, SK S4X2Y8",Address,Lakewood,JS GROUP OF COMPANIES,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRNR202502011,New Commercial,2026-01-05 00:00:00,Industrial,New construction,50000,0,0,,"325 N MCDONALD STREET, REGINA, SK S4N7M1",Address,UNDEVELOP,PLAINS MIDSTREAM CANADA ULC,Property Owner,"480-Utility building; hydro control building, oil refinery building, water"
PRRN202502850,Renovation/Alteration,2026-01-05 00:00:00,Commercial,Alteration and improvements,9500,0,1,,"1802 9TH AVENUE N, REGINA, SK S4R7T4",Address,Mount Pleasant,REAL PRAIRIE PROPERTIES INC.,Property Owner,"510-Retail and wholesale outlets; retail outlet, department store, photographic studio, rental service, beauty salon, hairdressing salon, lumber yard, dry cleaner, laundromat"
PRRN202503390,Renovation/Alteration,2026-01-05 00:00:00,Commercial,Alteration and improvements,200394.45,0,1,,"700 VICTORIA AVENUE, REGINA, SK S4N0R3",Address,Arcola Sub,THEM LIEN 888 REAL ESTATE HOLDINGS LTD.,Property Owner,"510-Retail and wholesale outlets; retail outlet, department store, photographic studio, rental service, beauty salon, hairdressing salon, lumber yard, dry cleaner, laundromat"
PRRN202503505,Renovation/Alteration,2026-01-05 00:00:00,Commercial,Alteration and improvements,200000,0,1,,"302 ALBERT STREET, REGINA, SK S4R3C1",Address,Coronation Park,102037163 SASKATCHEWAN LTD.,Property Owner,"540-Restaurant, bar, tavern, night club, diner, donut shop"
PRSF202503384,Single/Semi-Detached Dwelling 1-2 units,2026-01-05 00:00:00,Residential,New construction,400000,1,2,,"8782 WHEAT CRESCENT, REGINA, SK S4Y0H5",Address,Westerra,COLBY KIRKPATRICK - PACESETTER HOMES,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRSF202503408,Single/Semi-Detached Dwelling 1-2 units,2026-01-05 00:00:00,Residential,New construction,400000,1,2,,"8625 WHEAT CRESCENT, REGINA, SK S4Y0H7",Address,Westerra,PACESETTER HOMES REGINA,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRSS202503465,Secondary Suite,2026-01-05 00:00:00,Residential,Alteration and improvements,54000,1,0,,"8746 WHEAT CRESCENT, REGINA, SK S4Y0H6",Address,Westerra,GREEN STONE RENOVATIONS LTD,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRSS202503546,Secondary Suite,2026-01-05 00:00:00,Residential,Alteration and improvements,25000,1,0,,"8605 WHEAT CRESCENT, REGINA, SK S4Y0H7",Address,Westerra,PACESETTER NEW HOMES LTD.,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRSS202503557,Secondary Suite,2026-01-05 00:00:00,Residential,Alteration and improvements,50000,1,0,,"3145 FAVEL DRIVE, REGINA, SK S4V4C7",Address,The Towns,REDACTED,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRSS202503560,Secondary Suite,2026-01-05 00:00:00,Residential,Alteration and improvements,47000,1,0,,"2912 WELBY WAY, REGINA, SK S4V4A4",Address,The Towns,LUCKY LINKS BUILDING SERVICES LTD. - LUCKY ALUGE,Contractor,"210-Semi-Detached or Double House, single attached home"
PRAD202503020,Addition,2026-01-06 00:00:00,Residential,Addition to existing building commercial & residential,150000,1,2,,"3114 E JENKINS DRIVE, REGINA, SK S4N6X9",Address,Parkridge,REDACTED,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRBS202600018,Basement Development,2026-01-06 00:00:00,Residential,Alteration and improvements,50000,0,0,,"5205 CANUCK CRESCENT, REGINA, SK S4W0H1",Address,Harbour Landing,HIBBERT HOMES & RENOVATIONS INC.,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRDK202503305,Deck/Sunroom,2026-01-06 00:00:00,Residential,Alteration and improvements,5000,0,0,,"875 ROYAL STREET, REGINA, SK S4T4Z5",Address,Transcona,REDACTED,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
