_id,PERMIT_NUM,REVISION_NUM,PERMIT_TYPE,STRUCTURE_TYPE,WORK,STREET_NUM,STREET_NAME,STREET_TYPE,STREET_DIRECTION,POSTAL,GEO_ID,WARD_GRID,APPLICATION_DATE,ISSUED_DATE,COMPLETED_DATE,STATUS,DESCRIPTION,CURRENT_USE,PROPOSED_USE,DWELLING_UNITS_CREATED,DWELLING_UNITS_LOST,EST_CONST_COST,ASSEMBLY,INSTITUTIONAL,RESIDENTIAL,BUSINESS_AND_PERSONAL_SERVICES,MERCANTILE,INDUSTRIAL,INTERIOR_ALTERATIONS,DEMOLITION,BUILDER_NAME
359,06 142244 BLD,00,Building Additions/Alterations,Hospital,Interior Alterations,4001,LESLIE,ST, ,M2K,536800,N1729,2006-06-02,2006-06-07,,Inspection,Interior alterations to create a new Tim Hortons within the cafeteria of North York General Hospital,Hospital,Cafeteria,0,0,"150,000",0,0,0,0,0,0,291,0,110 SHEPPARD PORTFOLIO INC
783,11 268416 BLD,00,Building Additions/Alterations,Office,Interior Alterations,184,FRONT,ST,E,M5A,8351607,S1335,2011-09-02,2011-09-19,,Inspection,"Proposal for interior alterations to unit 101 on ground floor for new dentail office for ""Dr. Sharina Adatia"" (141.76m2).  This proposal includes HVAC and plumbing alterations.",Office,Dental Office,0,0,220000,0,0,0,0,0,0,141.76,0,BELLSAM CONTRACTING LTD
875,22 133548 STS,00,Drain and Site Service,Nursing Home Facility,Inside and Outside Drains,155,BALMORAL,AVE, ,M4V,8741406,S1238,2022-04-12,2024-06-20,,Permit Issued,"Drain - Proposal for construction of a new 15-storey building(13 storey +Mech 2storey) with underground parking is proposed to be developed over three parcels of land. See SPA application 21 144184 STE 12 SA - 155 BALMORAL AVE. The proposed retirement development encompasses approximately 17,417 sm of GFA, which includes independent living suites, memory care suites, assisted living suites and dedicated amenity floors / spaces. The building includes 143 total suites.  ",Vacant,Retirement Home,,,85500000,0,0,0,0,0,0,0,0,AMICO
876,22 133548 DRN,00,Drain and Site Service,Nursing Home Facility,Building Permit Related (DR),155,BALMORAL,AVE, ,M4V,8741406,S1238,2023-04-17,2024-04-12,,Inspection,"Drain - Proposal for construction of a new 15-storey building(13 storey +Mech 2storey) with underground parking to be developed over three parcels of land. See SPA application 21 144184 STE 12 SA - 155 BALMORAL AVE. The proposed retirement development encompasses approximately 17,417 sm of GFA, which includes independent living suites, memory care suites, assisted living suites and dedicated amenity floors / spaces. The building includes 143 total suites.  ",Vacant,Retirement Home,,,DO NOT UPDATE OR DELETE THIS INFO FIELD,0,0,0,0,0,0,0,0,AMICO
877,22 133548 FSU,00,Fire/Security Upgrade,Nursing Home Facility,Building Permit Related(FS),155,BALMORAL,AVE, ,M4V,8741406,S1238,2024-03-26,,,Application On Hold,"FS - Sprinkler Shop Drawing - Proposal for construction of a new 15-storey building(13 storey +Mech 2storey) with underground parking to be developed over three parcels of land. See SPA application 21 144184 STE 12 SA - 155 BALMORAL AVE. The proposed retirement development encompasses approximately 17,417 sm of GFA, which includes independent living suites, memory care suites, assisted living suites and dedicated amenity floors / spaces. The building includes 143 total suites.  ",Vacant,Retirement Home,,,DO NOT UPDATE OR DELETE THIS INFO FIELD,0,0,0,0,0,0,0,0,AMICO
905,20 221282 BLD,00,Building Additions/Alterations,Hospital,Interior Alterations,200,ELIZABETH,ST, ,M5G,7792529,S1145,2020-11-22,2020-11-25,,Permit Issued,Provision of new steam pipe riser for the Medical Device Reprocessing Department at Level 3 of the Norman Urquhart Wing.,Hospital,Hospital,0,0,200000,0,0,0,0,0,0,100,0,DINEEN CONSTRUCTION CORP
906,20 221282 PLB,00,Plumbing(PS),Hospital,Building Permit Related(PS),200,ELIZABETH,ST, ,M5G,7792529,S1145,2020-11-22,2020-11-27,,Permit Issued,Plumbing  - Provision of new steam pipe riser for the Medical Device Reprocessing Department at Level 3 of the Norman Urquhart Wing.,Hospital,Hospital,,,DO NOT UPDATE OR DELETE THIS INFO FIELD,0,0,0,0,0,0,0,0,DINEEN CONSTRUCTION CORP
1100,12 205657 FSU,00,Fire/Security Upgrade,Long Term Care Facility,Electromagnetic Locks,225,ST GEORGE,ST, ,M5R,873429,S1127,2012-07-05,2012-08-01,,Inspection,Proposal to install one maglock on ground floor stairwell exit door of existing nursing home.,Nursing Home,Nursing Home,,,2000,0,0,0,0,0,0,0,0,CHUBB EDWARDS
1656,23 179934 BLD,00,Building Additions/Alterations,Medical/Dental Office,Interior Alterations,799,YORK MILLS,RD, ,M3B,579010,N1623,2023-07-26,2023-09-05,,Inspection,proposal for interior alteration to dental office.,Restaurant - More Than 30 Seats,Dental Office,0,0,100000,0,0,0,0,0,0,240,0,DAN BURNS DENTAL CONSTRUCTION INC
1816,20 147715 STS,00,Drain and Site Service,Long Term Care Facility,Site Service,3560,BATHURST,ST, ,M6A,487172,N0823,2020-05-22,2020-07-13,,Inspection,"Proposal for the installation of Catch Basins, Manholes and a StormTech SC-740 Detention system on the property, adjacent to Ameer Ave.  ",Retirement Home And Assembly,Retirement Home And Assembly,,,5000000,0,0,0,0,0,0,0,0,ELLIS DON
