FOLDERYEAR,LicenceRSN,LicenceNumber,LicenceRevisionNumber,BusinessName,BusinessTradeName,Status,IssuedDate,ExpiredDate,BusinessType,BusinessSubType,Unit,UnitType,House,Street,City,Province,Country,PostalCode,LocalArea,NumberofEmployees,FeePaid,ExtractDate,Geom,geo_point_2d
24,4498602,24-117262,10,Peter Mah & Charles Mah & Harry Mah,,Issued,2023-12-22T10:40:40-08:00,2024-12-31,Long-term Rental,,,,,,Vancouver,BC,CA,,Hastings-Sunrise,0.0,,2026-08-01T02:34:24-07:00,,
24,4498665,24-117332,10,Peter C Chan & Mut Y Chan,,Issued,2023-12-02T15:31:19-08:00,2024-12-31,Long-term Rental,,,,,,Vancouver,BC,CA,,Sunset,0.0,,2026-08-01T02:34:24-07:00,,
24,4498693,24-117364,10,Peter Jim & Rosie San,,Issued,2023-12-22T18:21:19-08:00,2024-12-31,Long-term Rental,,,,,,Vancouver,BC,CA,,Kensington-Cedar Cottage,0.0,,2026-08-01T02:34:24-07:00,,
24,4498814,24-117492,10,Anders Petersen & Joan Petersen,,Issued,2023-12-06T15:03:34-08:00,2024-12-31,Long-term Rental,,,,,,Vancouver,BC,CA,,Kensington-Cedar Cottage,0.0,,2026-08-01T02:34:24-07:00,,
24,4498898,24-117579,10,(Peter Chiu),,Issued,2023-11-27T23:46:17-08:00,2024-12-31,Long-term Rental,,,,,,Vancouver,BC,CA,,Mount Pleasant,0.0,,2026-08-01T02:34:24-07:00,,
24,4498903,24-117584,10,Dr Petar J Kokan (Petar Kokan),,Issued,2024-02-05T12:40:51-08:00,2024-12-31,Long-term Rental,,,,,,Vancouver,BC,CA,,South Cambie,0.0,,2026-08-01T02:34:24-07:00,,
24,4499353,24-118063,10,Charlene Tamkee & Peter Tamkee,,Issued,2023-11-28T17:33:57-08:00,2024-12-31,Long-term Rental,,,,,,Vancouver,BC,CA,,Sunset,0.0,,2026-08-01T02:34:24-07:00,,
24,4500436,24-119211,10,Randy A Petersen & Christine Petrov,,Issued,2024-01-29T12:10:49-08:00,2024-12-31,Long-term Rental,,,,,,Vancouver,BC,CA,,Riley Park,0.0,,2026-08-01T02:34:24-07:00,,
24,4500553,24-119334,10,Peter M Brown & Kathleen M Brown,,Issued,2023-11-29T16:05:08-08:00,2024-12-31,Long-term Rental,,,,,,Vancouver,BC,CA,,Dunbar-Southlands,0.0,,2026-08-01T02:34:24-07:00,,
24,4500888,24-119702,10,Rosalinda T Yong & Peter L Yong & Christina L Yong,,Issued,2023-11-19T19:27:03-08:00,2024-12-31,Long-term Rental,,,,,,Vancouver,BC,CA,,Marpole,0.0,,2026-08-01T02:34:24-07:00,,
24,4501424,24-120360,10,Peter K Wu Inc,Peter Wu & Co,Pending,,,Financial Services,,418,Unit,88,E PENDER ST,Vancouver,BC,CA,V6A 3X3,Downtown,1.0,,2026-08-01T02:34:24-07:00,"{""coordinates"": [-123.102599225062, 49.2801644941638], ""type"": ""Point""}","49.2801644941638, -123.102599225062"
24,4501528,24-120471,10,Peterco Holdings Ltd,,Issued,2023-11-30T14:36:25-08:00,2024-12-31,Financial Services,,,,881,Helmcken St,Vancouver,BC,CA,V6Z 1B1,Downtown,2.0,,2026-08-01T02:34:24-07:00,"{""coordinates"": [-123.125742184995, 49.2796423590941], ""type"": ""Point""}","49.2796423590941, -123.125742184995"
24,4494924,24-113301,11,Worldwide Carpetizing Ltd,Carpetizing,Pending,,,General Repair and Maintenance,,,,,,North Vancouver,BC,CA,,Out of Town,1.0,,2026-08-01T02:34:21-07:00,,
24,4494930,24-113307,10,Gentle Care Drapery & Carpet Cleaners Ltd,Coit Drapery & Carpet Cleaner,Issued,2023-11-23T13:10:17-08:00,2024-12-31,General Repair and Maintenance,,,,,,Burnaby,BC,CA,,,79.0,,2026-08-01T02:34:21-07:00,,
24,4494935,24-113312,10,Point Three Carpet Maintenance Ltd,,Issued,2023-11-29T13:50:33-08:00,2024-12-31,General Repair and Maintenance,,,,,,Burnaby,BC,CA,,Out of Town,10.0,,2026-08-01T02:34:21-07:00,,
24,4495575,24-221808,10,Catherine White Holman Wellness Society,Catherine White Holman Wellness Centre,Issued,2024-05-15T16:35:39-07:00,2024-12-31,Association or Society,,,,,,Burnaby,BC,CA,,Out of Town,0.0,2.0,2026-08-01T02:34:21-07:00,,
24,4497060,24-115468,10,Pacific Dental Temps Ltd,,Issued,2024-02-15T10:45:31-08:00,2024-12-31,Business Support Services,,,,,,Burnaby,BC,CA,,Out of Town,2.0,,2026-08-01T02:34:21-07:00,,
24,4503986,24-123068,10,(Wayne KM Wong),,Issued,2023-12-29T09:34:38-08:00,2024-12-31,Health Care Professionals and Services,,,,,,North Vancouver,BC,CA,,,1.0,,2026-08-01T02:34:22-07:00,,
24,4504348,24-123456,10,Have Gym Will Travel Inc,,Issued,2023-12-22T14:33:02-08:00,2024-12-31,Health Care Professionals and Services,,,,,,Langley,BC,CA,,,2.0,,2026-08-01T02:34:22-07:00,,
24,4504893,24-124036,10,(Pamela Russell),OT Works,Issued,2023-12-22T11:31:45-08:00,2024-12-31,Health Care Professionals and Services,,,,,,New Westminster,BC,CA,,,13.0,,2026-08-01T02:34:22-07:00,,
24,4505239,24-124416,10,Infinity Health LLP,,Inactive,2023-12-19T14:24:35-08:00,2024-12-31,Health Care Professionals and Services,,,,,,Abbotsford,BC,CA,,Out of Town,50.0,,2026-08-01T02:34:22-07:00,,
24,4505243,24-124421,10,CBI Limited,Orion Health Rehabilitation And Assessment Services,Issued,2023-12-08T10:57:22-08:00,2024-12-31,Health Care Professionals and Services,,,,,,Burnaby,BC,CA,,Out of Town,20.0,,2026-08-01T02:34:22-07:00,,
24,4505245,24-124423,10,LS Life Skills Therapy Services Inc,,Issued,2023-12-18T12:55:45-08:00,2024-12-31,Health Care Professionals and Services,,,,,,Surrey,BC,CA,,Out of Town,1.0,,2026-08-01T02:34:22-07:00,,
24,4505249,24-124427,10,Mountainview Kinesiology Ltd,,Issued,2024-03-05T12:52:37-08:00,2024-12-31,Health Care Professionals and Services,,,,,,Anmore,BC,CA,,,2.0,,2026-08-01T02:34:22-07:00,,
24,4505250,24-124428,10,(Kathleen Sze),Pedi Nurse,Issued,2023-12-28T11:01:31-08:00,2024-12-31,Health Care Professionals and Services,,,,,,Richmond,BC,CA,,,1.0,,2026-08-01T02:34:22-07:00,,
24,4505286,24-124466,10,Swift Health Services Inc,,Issued,2023-11-21T12:13:45-08:00,2024-12-31,Health Care Professionals and Services,,,,,,Delta,BC,CA,,Out of Town,3.0,,2026-08-01T02:34:22-07:00,,
24,4505300,24-124486,10,Intensive Care First Aid Training Ltd,Intensive Care First Aid,Issued,2023-11-22T14:13:31-08:00,2024-12-31,Health Care Professionals and Services,,,,,,Burnaby,BC,CA,,,1.0,,2026-08-01T02:34:22-07:00,,
24,4505435,24-124628,10,Intuitive Independence Rehabilitation Services Inc,,Issued,2023-12-08T16:01:27-08:00,2024-12-31,Health Care Professionals and Services,,,,,,Chilliwack,BC,CA,,,5.0,,2026-08-01T02:34:22-07:00,,
24,4505891,24-125143,10,Veronika Ruby Anne Paukkunen (Veronika Paukkunen),Sisu Counselling,Issued,2023-12-18T20:29:39-08:00,2024-12-31,Health Care Professionals and Services,,,,,,West Vancouver,BC,CA,,Out of Town,1.0,,2026-08-01T02:34:22-07:00,,
24,4506022,24-125289,10,Maritess T Strauss (Maritess  Strauss),Maritess Tolentino,Issued,2024-03-06T15:17:37-08:00,2024-12-31,Health Care Professionals and Services,,,,,,White Rock,BC,CA,,Out of Town,0.0,,2026-08-01T02:34:22-07:00,,
24,4506208,24-125511,10,AllCare Nursing Inc,,Issued,2024-01-01T12:00:04-08:00,2024-12-31,Health Care Professionals and Services,,,,,,Richmond,BC,CA,,Out of Town,4.0,,2026-08-01T02:34:22-07:00,,
24,4506248,24-125556,10,Healthy Smile Mobile Dental Hygiene Inc,,Issued,2024-01-31T20:19:16-08:00,2024-12-31,Health Care Professionals and Services,,,,,,Burnaby,BC,CA,,Out of Town,4.0,,2026-08-01T02:34:22-07:00,,
24,4506362,24-125700,10,Saint Elizabeth Health Care,,Issued,2024-02-07T20:27:28-08:00,2024-12-31,Health Care Professionals and Services,,,,,,Markham,ON,CA,,Out of Town,25.0,,2026-08-01T02:34:22-07:00,,
24,4506383,24-125726,10,(Sze Wong),,Issued,2023-11-28T21:07:17-08:00,2024-12-31,Health Care Professionals and Services,,,,,,Burnaby,BC,CA,,Out of Town,0.0,,2026-08-01T02:34:22-07:00,,
24,4506389,24-125732,10,Metro Vancouver Caregivers Inc,Metro Vancouver Caregivers,Issued,2023-12-23T08:52:57-08:00,2024-12-31,Health Care Professionals and Services,,,,,,Burnaby,BC,CA,,Out of Town,4.0,,2026-08-01T02:34:22-07:00,,
