X,Y,OBJECTID,gislink,CATEGORY,type,PermitNo,SUBJECT,Status,Purpose,IssuedDate,BldgValue,Unit,House,Street,completed_date,CREATED_DATE,ParcelType,AUC,ActualUse,Neighbourhood,X_LONG,Y_LAT,ContactType,Name,mailing_address,phone,cell,email,fax,AUC_Group,PermitType
473690.5294,5362558.2832,47,V02251024,BUILDING PERMITS,PP-PLUMBING,PP060530,COMMERCIAL/RESIDENTIAL/DENTAL OFFICE,ACTIVE,New Fixture 1 Sink - Basin/Lavatory; Cap/Remove Fixture 1 Sink - Basin/Lavatory; New Fixture 1 W.C. - Toilet; Cap/Remove Fixture 1 W.C. - Toilet;,20260521,3000,,351,COOK ST,,2026/05/21 00:00:00+00,LA,202,STORE(S) & LIVING QUARTERS,Fairfield,-123.35556074580352,48.415627938539345,APPLICANT,C3M MECHANICAL LTD.,mailing,,,,,Commercial,Plumbing Permit (PP)
473690.5294,5362558.2832,59,V02251024,BUILDING PERMITS,PP-PLUMBING,PP060530,COMMERCIAL/RESIDENTIAL/DENTAL OFFICE,ACTIVE,New Fixture 1 Sink - Basin/Lavatory; Cap/Remove Fixture 1 Sink - Basin/Lavatory; New Fixture 1 W.C. - Toilet; Cap/Remove Fixture 1 W.C. - Toilet;,20260521,3000,,359,COOK ST,,2026/05/21 00:00:00+00,LA,202,STORE(S) & LIVING QUARTERS,Fairfield,-123.35556074580352,48.415627938539345,APPLICANT,C3M MECHANICAL LTD.,mailing,,,,,Commercial,Plumbing Permit (PP)
475147.0539,5364573.4374,566,07419038,BUILDING PERMITS,BP-INTERIOR ONLY,BP059934,17-UNIT CONDOMINIUM/MEDICAL OFFICE,ACTIVE,"UNIT 1: CHANGE OF USE FROM PET CLINIC/OFFICE TO MEDICAL OFFICE FOR ""MONARCH HEALTH"". RENOVATIONS TO RECONFIGURE LAYOUT. REMOVAL AND ADDITION OF WALLS.  PLUMBING CHANGES. NO CHANGES TO FIRE ALARM.
BCB",20260420,60000,,1595,BAY ST,,2026/01/26 00:00:00+00,SCP,,,Fernwood,-123.33599630373067,48.4338161396023,APPLICANT,JENSEN GROUP ARCHITECTS INC,mailing,(250) 360-9009,,,,,Building Permit (BP)
475147.0539,5364573.4374,572,000-888-842,BUILDING PERMITS,BP-INTERIOR ONLY,BP059934,17-UNIT CONDOMINIUM/MEDICAL OFFICE,ACTIVE,"UNIT 1: CHANGE OF USE FROM PET CLINIC/OFFICE TO MEDICAL OFFICE FOR ""MONARCH HEALTH"". RENOVATIONS TO RECONFIGURE LAYOUT. REMOVAL AND ADDITION OF WALLS.  PLUMBING CHANGES. NO CHANGES TO FIRE ALARM.
BCB",20260420,60000,,1595,BAY ST,,2026/01/26 00:00:00+00,SL,216,COMMERCIAL STRATA-LOT,Fernwood,-123.33599630373067,48.4338161396023,APPLICANT,JENSEN GROUP ARCHITECTS INC,mailing,(250) 360-9009,,,,Commercial,Building Permit (BP)
473557.9796,5362428.0171,1020,028-474-686,BUILDING PERMITS,EP-COMMERCIAL,EP084090,,ACTIVE,"TI for new pharmacy.  New lighting, emergency lighting, fire alarm devices, receptacles.   Existing panel to be used, no new distribution.",20260318,35000,104,240,COOK ST,,2026/03/18 00:00:00+00,SL,216,COMMERCIAL STRATA-LOT,Fairfield,-123.35734384841966,48.41445046831273,,,,,,,,Commercial,Electrical Permit (EP)
473557.9796,5362428.0171,1028,028-474-686,BUILDING PERMITS,EP-COMMERCIAL,EP084090,,ACTIVE,"TI for new pharmacy.  New lighting, emergency lighting, fire alarm devices, receptacles.   Existing panel to be used, no new distribution.",20260318,35000,1,240,COOK ST,,2026/03/18 00:00:00+00,SL,216,COMMERCIAL STRATA-LOT,Fairfield,-123.35734384841966,48.41445046831273,,,,,,,,Commercial,Electrical Permit (EP)
473857.3145,5363477.4016,1094,07494033,BUILDING PERMITS,BP-INTERIOR ONLY,BP060011,OFFICE BUILDING/RESTAURANT/HEALTH CLINIC,ACTIVE,"ARCHITECTURAL AND ELECTRICAL UPGRADES TO EXIT STAIR 1 AREA ADJUSTING EXITING FROM PARKADE

BCBC 2024",20260312,35000,,1175,COOK ST,,2026/02/26 00:00:00+00,LA,208,OFFICE BUILDING (PRIMARY USE),Fernwood,-123.3533640693734,48.423903597474876,APPLICANT,MBP ARCHITECTURE INC.,mailing,,,,,Commercial,Building Permit (BP)
473006.2566,5365443.6735,1256,09691034,BUILDING PERMITS,BP-INTERIOR ONLY,BP059952,OFFICES/PHYSIOTHERAPIST CLINIC/COSMETIC MEDICAL,ACTIVE,"UNIT 200: CHANGE OF USE OF ONE OFFICE FROM ""CHIROPRACTIC ROOM"" TO ""COSMETIC/MEDICAL"". 
BCBC 2024",20260303,0,200,775,TOPAZ AVE,,2026/02/04 00:00:00+00,LA,208,OFFICE BUILDING (PRIMARY USE),Burnside,-123.3649940359412,48.44155691727109,APPLICANT,TAYLOR'D AESTHETIC TATTOOS,mailing,250-551-4471,,tats.inquiries@gmail.com,,Commercial,Building Permit (BP)
475128.5993,5365928.5985,1263,V06001008,BUILDING PERMITS,SP-SIGN PERMIT,SP042862,HILLSIDE MALL - WALMART,COMPLETED,"REFACE PREVIOUSLY APPROVED ILLUMINATED FASCIA SIGN ON NORTH SIDE OF MALL
SIGN 1: 1.37M X 1.60M = 2.19M SQ ""WELL HEALTH MEDICAL CENTRES""",20260303,100,,1644,HILLSIDE AVE,2026/05/04 00:00:00+00,2026/02/25 00:00:00+00,LA,213,SHOPPING CENTRE (REGIONAL),Oaklands,-123.33632626395853,48.44600690133147,APPLICANT,PERMIT WORLD,mailing,,,,,Commercial,Sign Permit (SP)
475128.5993,5365928.5985,1264,V06001008,BUILDING PERMITS,SP-SIGN PERMIT,SP042862,HILLSIDE MALL - WALMART,COMPLETED,"REFACE PREVIOUSLY APPROVED ILLUMINATED FASCIA SIGN ON NORTH SIDE OF MALL
SIGN 1: 1.37M X 1.60M = 2.19M SQ ""WELL HEALTH MEDICAL CENTRES""",20260303,100,,1580,HILLSIDE AVE,2026/05/04 00:00:00+00,2026/02/25 00:00:00+00,LA,213,SHOPPING CENTRE (REGIONAL),Oaklands,-123.33632626395853,48.44600690133147,APPLICANT,PERMIT WORLD,mailing,,,,,Commercial,Sign Permit (SP)
